product_name,brand,price,image_url,switch_type,connection,layout,key_force,weight_g,wireless_type,engraving,backlight,raw_switch_name,switch_name,switch_manufacturer,product_code,media_url,price_compare_url,media_url_is_placeholder
COX CA75 3모드 CNC 알루미늄 유무선 기계식 블루,COX,49000,https://img.danuri.io/catalog-image/778/951/073/90ff7751a5204abb9389d7f5ddb13806.jpg?shrink=130:130&_v=20260610124713,기계식,유선+무선,미니,50g,1378,"전용동글(리시버), 블루투스",영문 정각,RGB 백라이트,코코아 크림 V2축,,,73951778,https://example.com/media,https://prod.danawa.com/info/?pcode=73951778&cate=112782,True
앱코 HACKER K515 축교환 측면 RGB 라이팅 이중사출 게이밍 기계식 화이트,앱코,40900,https://img.danuri.io/catalog-image/180/321/009/d4a4e62e63ff4b399201aad2630482a6.jpg?shrink=130:130&_v=20260610124740,기계식,유선,풀배열,50g,840,유선,한/영 정각,레인보우 백라이트,적축,,GTMX,9326529,https://example.com/media,https://prod.danawa.com/info/?pcode=9326529&cate=112782,True
앱코 HACKER K515 축교환 측면 RGB 라이팅 이중사출 게이밍 기계식 화이트,앱코,40900,https://img.danuri.io/catalog-image/180/321/009/d4a4e62e63ff4b399201aad2630482a6.jpg?shrink=130:130&_v=20260610124740,기계식,유선,풀배열,50g,840,유선,한/영 정각,레인보우 백라이트,갈축,,GTMX,9326511,https://example.com/media,https://prod.danawa.com/info/?pcode=9326511&cate=112782,True
앱코 HACKER K515 축교환 측면 RGB 라이팅 이중사출 게이밍 기계식 화이트,앱코,40900,https://img.danuri.io/catalog-image/180/321/009/d4a4e62e63ff4b399201aad2630482a6.jpg?shrink=130:130&_v=20260610124740,기계식,유선,풀배열,50g,840,유선,한/영 정각,레인보우 백라이트,청축,,GTMX,9321180,https://example.com/media,https://prod.danawa.com/info/?pcode=9321180&cate=112782,True
발키리 VK-99 유무선 기계식 한글,발키리,68990,https://img.danuri.io/catalog-image/558/154/070/203dd2d49c5d437e85050813424df68f.jpg?shrink=130:130&_v=20260610124755,기계식,유선+무선,102키,45g,1060,"전용동글(리시버), 블루투스",한/영 정각,RGB 백라이트,,,,70154558,https://example.com/media,https://prod.danawa.com/info/?pcode=70154558&cate=112782,True
COX CK88 유무선 기계식 블랙로얄,COX,81340,https://img.danuri.io/catalog-image/295/810/094/5e8dd771ca0042c988a5a7c84b132ae0.jpg?shrink=130:130&_v=20260610124740,기계식,유선+무선,텐키리스,43g,1410,"전용동글(리시버), 블루투스",영문 정각,레인보우 백라이트,딥씨축,,,94810328,https://example.com/media,https://prod.danawa.com/info/?pcode=94810328&cate=112782,True
COX CK88 유무선 기계식 블랙로얄,COX,67000,https://img.danuri.io/catalog-image/295/810/094/5e8dd771ca0042c988a5a7c84b132ae0.jpg?shrink=130:130&_v=20260610124740,기계식,유선+무선,텐키리스,43g,1410,"전용동글(리시버), 블루투스",영문 정각,레인보우 백라이트,바닐라 아이스크림축,,,94810295,https://example.com/media,https://prod.danawa.com/info/?pcode=94810295&cate=112782,True
COX CK88 유무선 기계식 블랙로얄,COX,63650,https://img.danuri.io/catalog-image/295/810/094/5e8dd771ca0042c988a5a7c84b132ae0.jpg?shrink=130:130&_v=20260610124740,기계식,유선+무선,텐키리스,43g,1410,"전용동글(리시버), 블루투스",영문 정각,레인보우 백라이트,베이비 화이트축,,,94810304,https://example.com/media,https://prod.danawa.com/info/?pcode=94810304&cate=112782,True
COX CFL101 3모드 CMMK 특주축 유무선 기계식,COX,49000,https://img.danuri.io/catalog-image/718/965/092/2f2c4f78ef78498bb17170ef9ef2f431.jpg?shrink=130:130&_v=20260610124740,기계식,유선+무선,101키,45g,1250,"전용동글(리시버), 블루투스",한/영 정각,RGB 백라이트,,,,92965718,https://example.com/media,https://prod.danawa.com/info/?pcode=92965718&cate=112782,True
CHERRY MX BOARD 2.0S MX2A 화이트,CHERRY,84000,https://img.danuri.io/catalog-image/891/154/052/d2c84aba1eca408a827c6499f796c5cc.jpg?shrink=130:130&_v=20260610124740,기계식,유선,풀배열,45g,758,유선,레이저각인 키캡,없음,적축,MX Red,체리,52154891,https://example.com/media,https://prod.danawa.com/info/?pcode=52154891&cate=112782,True
CHERRY MX BOARD 2.0S MX2A 화이트,CHERRY,84000,https://img.danuri.io/catalog-image/891/154/052/d2c84aba1eca408a827c6499f796c5cc.jpg?shrink=130:130&_v=20260610124740,기계식,유선,풀배열,45g,758,유선,레이저각인 키캡,없음,저소음 적축,,체리,52154906,https://example.com/media,https://prod.danawa.com/info/?pcode=52154906&cate=112782,True
